id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5077553050813094,Owxvz3pwq,5849675832,WiensLaw,终于通关了，舔图玩家一周目能解锁的都解锁了，有点舍不得看到最后的西行动画我连话都说不出来了，云宫迅音跟敢问路在何方听的我想哭这就是永远在中国人记忆里的东西吧#黑神话悟空#,,,,黑神话悟空,0,1,3,2024-09-11 22:54,iPhone客户端,"https://wx2.sinaimg.cn/large/006nSDUcly1htk5u2o8u0j31z4140wh6.jpg,https://wx2.sinaimg.cn/large/006nSDUcly1htk5u19ryqj31z4140gww.jpg,https://wx4.sinaimg.cn/large/006nSDUcly1htk5u31q4kj31z4140gt6.jpg,https://wx2.sinaimg.cn/large/006nSDUcly1htk5u1mhr5j31z4140q9k.jpg,https://wx2.sinaimg.cn/large/006nSDUcly1htk5u1vxcqj31z4140ah9.jpg,https://wx1.sinaimg.cn/large/006nSDUcly1htk5u3ca4fj31z4140gpu.jpg,https://wx2.sinaimg.cn/large/006nSDUcly1htk5u449wyj31z4140n8q.jpg,https://wx3.sinaimg.cn/large/006nSDUcly1htk5u3ofuij31z414012l.jpg,https://wx1.sinaimg.cn/large/006nSDUcly1htk5u2gd9uj31z4140k6f.jpg",,,上海,普通用户
5077567118508613,OwxSfzHtH,7496227484,网信焦作,【#你好，明天#】大陆企业出品的《黑神话：悟空》深受宝岛台湾青年追捧。台湾同胞追捧的是一款游戏，追忆的是儿时梦想，追逐的则是中华文化。两岸同胞同根同源、同文同种，同受中华文化所滋润，传统文化、中式美学早已融入血液之中。传承中华文脉，守护精神家园，这是中国人共有的情感认同。L人民日报的微博视频,,,,你好，明天,0,0,0,2024-09-11 23:50,微博视频号,,"http://f.video.weibocdn.com/o0/B0GNMntalx08hWwsbPlK01041200aIzN0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1726078932&ssig=rYQtf8sLMX&KID=unistore,video",,,蓝V
5077552941763969,Owxvo7oT7,1766495793,遇见Y1X28,《黑神话悟空》电影版L优佳80的微博视频,,,,,0,0,0,2024-09-11 22:53,nova7你在焦点在,,"http://f.video.weibocdn.com/o0/LdTjzOR6lx08hQOAUhqM0104122pSH6u0E0R0.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1726078900&ssig=Wyu19CrfCX&KID=unistore,video",,四川,普通用户
5077552855255803,Owxvfm3h1,6063043148,星光路线图,#黑神话悟空真的太厉害了#！简直太强了！！只是...当年真的是六耳猕猴吗？#黑神话悟空##神话#L星光路线图的微博视频,,,,"黑神话悟空真的太厉害了,黑神话悟空,神话",0,1,0,2024-09-11 22:53,微博视频号,,"http://f.video.weibocdn.com/o0/F9AFgvyAlx08hWvKX4kw01041200kcty0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078944&ssig=eMh7dli%2BhN&KID=unistore,video",,北京,红V
5077552790768752,Owxv93dZe,6326957399,乐呵呵哈哈胡,黑神话悟空玩着头晕出账号打包豪华版280,,,,,0,6,0,2024-09-11 22:53,iPhone客户端,,,,辽宁,普通用户
5077552311306902,Owxun5tZ4,1644861790,八月玄鸟,#黑神话悟空的文化输出有多强#我在微博微信读书，请注意动状补，真香。,,,,黑神话悟空的文化输出有多强,0,0,1,2024-09-11 22:51,iPhone 15 Pro,"https://wx1.sinaimg.cn/large/620a995ely1htk5wfx84oj20wr1z04qp.jpg,https://wx2.sinaimg.cn/large/620a995ely1htk5yefh0gj20wr1z01kx.jpg",,,北京,普通用户
5077552227682564,OwxueweAk,7805034222,西西弗斯的月光,8个小时八个BOSS，第五章也算是通关了，较前四张章来说这一章偷工减料的十分明显，整体大概缩水了50%探索度换皮怪充数精英剧情简单和感应灯光，都显示出游科在后期经费时间人员几近枯竭，但瑕不掩瑜关尾CG破碎的铁扇公主依然十分动人。希望后期DLC可以对第五章进行填充吧#黑神话悟空#,,,,黑神话悟空,0,3,0,2024-09-11 22:50,vivo X100s Pro,"https://wx1.sinaimg.cn/large/008wd7WKly1htk5fxy4h3j32yo1o0he1.jpg,https://wx3.sinaimg.cn/large/008wd7WKly1htk5g27c9tj32yo1o0u12.jpg,https://wx1.sinaimg.cn/large/008wd7WKly1htk5g4xyzbj32yo1o0b2c.jpg,https://wx1.sinaimg.cn/large/008wd7WKly1htk5g7sknrj32yo1o01l2.jpg,https://wx1.sinaimg.cn/large/008wd7WKly1htk5gaycswj32yo1o0kjp.jpg,https://wx4.sinaimg.cn/large/008wd7WKly1htk5ge006rj32yo1o01l2.jpg,https://wx3.sinaimg.cn/large/008wd7WKly1htk5gijt1gj32yo1o0qv9.jpg,https://wx1.sinaimg.cn/large/008wd7WKly1htk5glb8lpj32yo1o07wk.jpg",,,陕西,普通用户
5077552215359784,Owxudmuk8,2115566404,游戏圈资讯君,【黑神话悟空代肝】请阁下总结：#黑神话悟空#,,,,黑神话悟空,7,33,158,2024-09-11 22:50,微博网页版,https://wx4.sinaimg.cn/large/7e18fb44ly1htk5whp4dsj20g00zk75p.jpg,,,陕西,金V
5077493586854796,OwvXEsLfe,5482373928,不二家的丁丁糖,这两天连续看了好多关于黑悟空游戏的剧情，果然齐天大圣的ip永远是个宝藏！！！我要大声说出我的爱：央视版西游记我永远的爱，大圣是我永远的情猴,,,,,0,0,0,2024-09-11 18:57,iPhone客户端,"https://wx3.sinaimg.cn/large/005Z1tTWgy1htjz307sp2j31z4140ah9.jpg,https://wx4.sinaimg.cn/large/005Z1tTWgy1htjz31z6u8j30gc13oq5a.jpg,https://wx2.sinaimg.cn/large/005Z1tTWgy1htjz2y77pdj30hp12amyx.jpg",,,德国,普通用户
5077493554614042,OwvXBjmk2,6223390888,浜名八十四,翻steam库存，发现MO和ICEY都是16年19年的游戏了....犹记得当年ICEY还就国产游戏吵得不可开交，今年就黑悟空了。MO倒是没什么水花，闷声发大财，一票国内外好评。不过雷亚游戏现在是不是都散了（）cytus还在更新吗,,,,,1,2,1,2024-09-11 18:57,微博网页版,"https://wx3.sinaimg.cn/large/006NaIgogy1htjyza2gtvj31aq1d6hdt.jpg,https://wx4.sinaimg.cn/large/006NaIgogy1htjz2e8hbij316g0oyh6g.jpg",,,加拿大,普通用户
5077433491915812,OwuoJ82oc,1226244970,印小天,#出入平安有自己的西游记#“黑悟空”上线，且看六耳猕猴吴老六，如何一“炮”切黑！9月30日，看#电影出入平安#,,,,"出入平安有自己的西游记,电影出入平安",2062,1104,3622,2024-09-11 14:59,,https://wx3.sinaimg.cn/large/4917036agy1htjsaihiwyj20u0160b0w.jpg,,,浙江,红V
